text,aspects,polarities
restaurante excelente con carne de alta calidad.,"['RESTAURANT', 'FOOD']","['positive', 'positive']"
Nos encanto!,['RESTAURANT'],['positive']
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.","['RESTAURANT', 'AMBIENCE', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive', 'positive']"
Hemos ido a cenar y la verdad es que nos ha encantado.,['RESTAURANT'],['positive']
el sitio es muy bonito la comida estupenda y el trato inmejorable.,"['FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive']"
totalmente recomendable,['RESTAURANT'],['positive']
"Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.","['FOOD', 'RESTAURANT', 'SERVICE', 'AMBIENCE']","['positive', 'neutral', 'positive', 'positive']"
El dulce de leche es divino.,['FOOD'],['positive']
Primera visita a este Restaurante con resultado satisfactorio.,['RESTAURANT'],['positive']
"Calidad, profesionalidad y precio acorde con la oferta.","['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
Casi como en Argentina.,['RESTAURANT'],['positive']
Fantastico!!!,['RESTAURANT'],['positive']
Delicioso!!!,['RESTAURANT'],['positive']
resaturante fantástico con excelente comida y servicio aun mejor!!!!,"['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
"tremenda amabilidad, es un gustazo!","['RESTAURANT', 'SERVICE']","['positive', 'positive']"
"Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.",['SERVICE'],['positive']
Estaria bien musica argentina.,['AMBIENCE'],['negative']
Los precios estan dentro de los parametros normales.,['RESTAURANT'],['neutral']
Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Enhorabuena!!,['RESTAURANT'],['positive']
"Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato.","['RESTAURANT', 'FOOD']","['positive', 'negative']"
"La tira de asado normal, nada extraordinaria.",['FOOD'],['neutral']
Muy bien los postres y el matambre.,['FOOD'],['positive']
"Se podria mejorar la iluminación en la planta superior, demasiada luz plana.",['AMBIENCE'],['negative']
Recomendable 100%.,['RESTAURANT'],['positive']
"Un sitio precioso, con un ambiente exquisito.",['AMBIENCE'],['positive']
El servicio inmejorable y la comida excepcional!!,"['SERVICE', 'FOOD']","['positive', 'positive']"
Exquisitas las ensaladas y la carne.,['FOOD'],['positive']
Abundante comida.,['FOOD'],['positive']
Seguro que no te quedas con hambre y la claidad excelente.,['FOOD'],['positive']
La calidad de las carnes es insuperable y quiero destacar el excelente servicio recibido.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Si no has probado sus carnes te estas perdiendo algo muy grande!,['FOOD'],['positive']
Estuve cenando con unos amigos y la comida estuvo riquísima y el trato de las camareras excelente.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Repetiremos seguro!!,['RESTAURANT'],['positive']
Lo mejor: dejarse aconsejar por ellos a la hora de elegir plato.,['SERVICE'],['positive']
Me encanto!!!,['RESTAURANT'],['positive']
Sobran las palabras...volveré seguro!,['RESTAURANT'],['positive']
El restaurants comimos muy bien y ademas un servicio encantador y eficiente.,"['SERVICE', 'FOOD']","['positive', 'positive']"
"En algunos momentos, nos llegamos a preguntar si lo que teníamos en la boca era carne o un trozo de neumático.",['FOOD'],['negative']
Decepcionante...,['RESTAURANT'],['negative']
"La calidad de la comida excelente, el servicio super amable y siempre atento.","['SERVICE', 'FOOD']","['positive', 'positive']"
El ambiente muy acogedor.,['AMBIENCE'],['positive']
Una experiencia culinaria inolvidable.,['RESTAURANT'],['positive']
Comida y Servicio estupendo,"['SERVICE', 'FOOD']","['positive', 'positive']"
Todo muy bueno,['RESTAURANT'],['positive']
"ambiente íntimo y tranquilo, buen trato y buena calidad en las carnes.","['FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive']"
El precio un tanto elevado pero razonable.,['RESTAURANT'],['neutral']
"Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento.","['SERVICE', 'AMBIENCE', 'FOOD']","['positive', 'positive', 'positive']"
Muy buena relación calidad-precio.,['FOOD'],['positive']
"Buen servicio, ambiente y excelente comida.","['FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive']"
"La comida muy rica, pero el local extremadamente ruidoso (sobre todo el piso de arriba).","['AMBIENCE', 'FOOD']","['positive', 'neutral']"
Llegaba un momento en que apetecía irse por el ruido.,['AMBIENCE'],['negative']
Poca intimidad.,['AMBIENCE'],['negative']
"Quizás bueno para cenas de grupo, pero parejas abstenerse.",['RESTAURANT'],['neutral']
"Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.","['FOOD', 'DRINKS', 'RESTAURANT', 'AMBIENCE']","['positive', 'positive', 'positive', 'positive']"
"Muy recomendable, por tanto.",['RESTAURANT'],['positive']
"Como salvedad, diré que, a excepción del jefe de sala (o propietario, cosa que desconozco), atento, educado y detallista, el resto del servicio, pinganillos inalámbricos incluidos, no está a la altura del resto, más en lo que respecta a educación y formas que a la capacidad: habría que cuidar aspectos como retirar casi a la carrera platos sin terminar, tutear por defecto u ofrecer el silencio como toda respuesta a la duda del comensal en la elección entre dos opciones.",['SERVICE'],['positive']
"Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.","['FOOD', 'RESTAURANT', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'negative', 'positive']"
"Fue una cena perfecta, por el lugar y sobre todo por la comida.","['FOOD', 'AMBIENCE']","['positive', 'positive']"
Tienen una carta bastante extensa donde cada plato parece mejor que el anterior.,['FOOD'],['positive']
"Para los amantes de la carne no dudéis en pedir el Solomillo del Chef, exquisíto.",['FOOD'],['positive']
<->Aunque los productos sean de calidad el precio es elevado,['FOOD'],['positive']
Sólo puedo decir cosas buenas de este restaurante.,['RESTAURANT'],['positive']
Comimos muy bien y bien atendidos.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Las gambas fresquísimas.,['FOOD'],['positive']
Una maravilla como está decorado.,['AMBIENCE'],['positive']
Muy agradable y con unas vistas increíbles.,['AMBIENCE'],['positive']
"De la comida no tengo nada que decir, pero las mesas se tocan, el servicio no es amable, en definitiva muy caro para lo que es calida precio totalmente desequilibrada.","['RESTAURANT', 'SERVICE', 'AMBIENCE', 'FOOD']","['neutral', 'negative', 'negative', 'negative']"
La comida muy buena.,['FOOD'],['positive']
Lo que no me gusta es el servicio.,['SERVICE'],['negative']
"El último día que fuimos pedimos ostras y nos sentaron mal, a parte de que el camarero que nos sirvió servía el cava chorreando toda la mesa...pasará mucho tiempo hasta q vuelva...","['RESTAURANT', 'SERVICE', 'FOOD']","['negative', 'negative', 'negative']"
La única sonrisa que vimos entre el personal fue de la chica que nos condujo a nuestra mesa.,['SERVICE'],['negative']
"A partir de ahi, caras serias (por no decir de mal humor), distraidas, de los camareros... que a veces se hacían esperar, y otras veces se abalanzaban para liquidar la mesa.",['SERVICE'],['negative']
"Cubiertos mal puestos, sin la mas mínima delicadeza.",['SERVICE'],['negative']
"Platos mal presentados, sobrevolando las cabezas de los comensales.",['SERVICE'],['negative']
El servicio realmente malo.,['SERVICE'],['negative']
"La comida decente, aunque en relación al precio no estaba a la altura.",['FOOD'],['positive']
"Lo siento, pero no lo recomiendo en tales condiciones.",['RESTAURANT'],['negative']
"Ya no es lo que era...Ramon,ha bajado mucho, el servicio, la calidad de la comida, lo unico, la terraza.","['FOOD', 'RESTAURANT', 'SERVICE', 'AMBIENCE']","['negative', 'positive', 'positive', 'negative']"
"Sabado pasado, a las 13h, poca gente, o sea,cocina sin agobios, paella,simplemente lamentable.",['FOOD'],['negative']
"Es una pena,era de lo mejorcito de Barcelona",['RESTAURANT'],['negative']
Cena de negocio a más de 50 € pp y de primeros: longaniza de vic?,['RESTAURANT'],['negative']
tal vez del Lidl; anchoas?,['FOOD'],['negative']
"una o dos pp; de segundo bacalao a la llauna diminuto con ""secas"" de lata / carne con patatas fritas fast food.",['FOOD'],['negative']
"por el precio podrían haber sido ""peladas y fritas"", no?",['FOOD'],['negative']
"en fin, lleno de turistas que vienen una sola vez (de los cruceros?)",['AMBIENCE'],['negative']
muy defraudado por el precio y la calidad; antes no eran así!,"['RESTAURANT', 'FOOD']","['negative', 'negative']"
El servicio fue perfecto.,['SERVICE'],['positive']
La cocina deliciosa.,['FOOD'],['positive']
A través de los años nunca me han defraudado es un valor seguro.,['RESTAURANT'],['positive']
La relación calidad precio también es buena alrededor de 50 € por persona pero para una cena perfecta no lo considero caro.,['RESTAURANT'],['positive']
"Arroz caldoso lamentable (para guiris, puede estar hasta bueno) y caro en general.",['FOOD'],['neutral']
"Muy bueno, calidad, servicio que justifican su precio.","['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
"Y de vulgar nada de nada, todo lo contrario.",['RESTAURANT'],['positive']
Lo recomiendo a los que son capaces de apreciar y valorar el placer gastronómico.,['FOOD'],['positive']
"Personalmente este restaurante, ya por el servicio y la actitud de los camareros, del maitrê es excelente, creo que este restaurante se merece una estrella michelin, ya que se come muy bien, son unas grandes personas.","['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
El local es bonito y la situación inmejorable.,"['LOCATION', 'AMBIENCE']","['positive', 'positive']"
Sin embargo el precio es muy alto y con el tiempo ha ido subiendo de forma espectacular sin que mejore el producto.,['RESTAURANT'],['negative']
Yo no lo recomiendo.,['RESTAURANT'],['negative']
Caro.,['RESTAURANT'],['negative']
La comida siempre bien.,['FOOD'],['positive']
Si te toca cerca de los ventanales vistas de lujo.,['AMBIENCE'],['positive']
Comida excelente asi como su el servicio de camarero.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Un tanto caótica la recepción.,['SERVICE'],['negative']
"En cuanto a la carta, el tartar de lubina, supremo así como sus postres.",['FOOD'],['positive']
Volveremos.,['RESTAURANT'],['positive']
gracias,['RESTAURANT'],['positive']
Óptimo en la calidad del producto y su elaboración.,['FOOD'],['positive']
Servicio excelente.,['SERVICE'],['positive']
Homogeneidad imbatible.,['AMBIENCE'],['positive']
No se puede pedir más.,['RESTAURANT'],['positive']
He visitado este restaurante cada vez que viajo a Barcelona y siempre ha sido excelso.,['RESTAURANT'],['positive']
"No puedo más que recomendarlo ya que, sin duda, es uno de los valores más seguros de la Ciudad Condal.",['RESTAURANT'],['positive']
Servicio impecable y se come de maravilla!,"['RESTAURANT', 'SERVICE']","['positive', 'positive']"
"Buen reestaurante, buena calidad en los platos.","['RESTAURANT', 'FOOD']","['positive', 'positive']"
El único defecto es que es muy ruidoso y en algunos lugares las mesas estan muy pegadas unas a otras y creo que por el precio que pagas  podrían tener las mesas mas separadas.,['AMBIENCE'],['negative']
Buenisima la langosta a la plancha,['FOOD'],['positive']
Lugar perfecto.,['RESTAURANT'],['positive']
Comida digna y servicio excelente.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Para ir y repetir.,['RESTAURANT'],['positive']
excelemte cocina y excelente servicio,"['SERVICE', 'FOOD']","['positive', 'positive']"
Es una pasada.,['RESTAURANT'],['positive']
La atención y esmero del servicio y de su maitre son dignos de premio.,['SERVICE'],['positive']
Un valor seguro.,['RESTAURANT'],['positive']
Producto y cocina catalana y marinera de un muy buen nivel y servicio excelente.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Un restaurante muy homogéneo y que nunca defraudará.,['RESTAURANT'],['positive']
"Repito cada vez que puedo, con la familia o con la empresa.",['RESTAURANT'],['positive']
"La atención es exquisita y la comida (fideua,arroces y entrantes) de muy buena calidad.","['SERVICE', 'FOOD']","['positive', 'positive']"
El precio lo vale y el entorno más.,"['RESTAURANT', 'AMBIENCE']","['positive', 'positive']"
Muy recomendable.,['RESTAURANT'],['positive']
No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.,"['RESTAURANT', 'FOOD']","['positive', 'negative']"
"Buen ambiente, servicio mediocre.","['SERVICE', 'AMBIENCE']","['positive', 'negative']"
"fuimos a cenar para un cumpleaños con amigos y fue fantastico, un buen trato  y la comida excelente, sobretodo el solomillo a los 3 quesos y la cabra caliente sobre pure de manzana...","['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
"Calidad/Precio :elevado , la ubicación y el entorno muy agradable, pero en el interior hay un exceso de ruido que hacer sentirse incómodo y no disfrutar de la comida, sinceramente prefiero otros donde me encuentro mas agusto.","['LOCATION', 'FOOD', 'RESTAURANT', 'AMBIENCE']","['positive', 'positive', 'negative', 'negative']"
"Un lugar magnífico para comer buen marisco y cualquiera de sus arroces o suquet, aunque muy recomendable, no lo recomendaría para una cena íntima romántica, puesto que las conversaciones de las mmesas vecinas son muy animadas, puesto que el local se presta a ello, y el ambiente es de familias o grupos en general.","['AMBIENCE', 'FOOD']","['positive', 'negative']"
"Servicio excelente, vistas magníficas y excelente relación calidad-precio, siempre teniendo en cuenta que la calidad es muy alta.","['FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive']"
Más que recomendable.,['RESTAURANT'],['positive']
"he ido varias veces pero el sitio es para turistas y aunque la calidad es buena el precio es exagerado y el servicio deja mucho que desear, sobretodo en cuanto a las reservas.","['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'negative', 'negative']"
solo iré como ultimo recurso.,['RESTAURANT'],['negative']
"Me parece un lugar estupendo, la comida está buenisima y el servicio estupendo, dignos de admirar.","['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
un lugar para ir con alguien especial(como fuí yo..),['RESTAURANT'],['positive']
Estuve de nuevo en el Restaurante Barceloneta y pude disfrutar otra vez de una comida excelente:,['FOOD'],['positive']
"Unos entrantes magníficos: Buñuelos de Bacalao, Revuelto de ceps con butifarra y gambas al ajillo.",['FOOD'],['positive']
De postres el magnífico Tiramisú y un Queso Gallego de Tetilla con Dulce de Membrillo.,['FOOD'],['positive']
"El producto de primera, la elaboración excelente y el servicio impecable.","['SERVICE', 'FOOD']","['positive', 'positive']"
"La luz natural que entra por la vidriera de la terraza, añadida a la decoración tan acogedora da una sensación de bienestar difícil de conseguir en otros lugares.",['AMBIENCE'],['positive']
"En fin, que voy a regresar tantas veces como pueda y siempre que visite Barcelona.",['RESTAURANT'],['positive']
Uno de mis restaurantes favoritos.,['RESTAURANT'],['positive']
"Como ya he leído en algún comentario, de los pocos sitios donde se paga lo que se come, y se come bien, muy bien.",['FOOD'],['positive']
Es un sitio fantástico por la buena calidad de sus productos.,"['RESTAURANT', 'FOOD']","['positive', 'positive']"
Los arroces y suquets inmejorables.,['FOOD'],['positive']
"El local impresionante, con una terraza preciosa con vistas al puerto.",['AMBIENCE'],['positive']
"El servicio, mas que correcto.",['SERVICE'],['positive']
"La comida, excepcional para mi gusto.",['FOOD'],['positive']
"Los precios, depende de lo que pidas, puedes estar entre 40 y 60 euros por persona.",['RESTAURANT'],['neutral']
"Destacar los arroces, la caldereta de bogavante, las zamburiñas al horno y los platos de ""picoteo"" y los pescados en general.",['FOOD'],['positive']
Inmejorable calidad.,['FOOD'],['positive']
Especialmente exquisitos los buñuelos de bacalao y el arroz caldoso ah y el jamón de vicio.,['FOOD'],['positive']
Una de las mejores paellas que he comido en un restaurante en Barcelona.,['FOOD'],['positive']
Además tiene una terraza impresionamnte.,['AMBIENCE'],['positive']
Si tienes cuidado con lo que pides puedes comer muy bien sin dejarte la cartera.,['FOOD'],['positive']
Del todo recomendable.,['RESTAURANT'],['positive']
"Posiblemente el restaurante con la mejor terraza de Barcelona, con vistas al mar y una comida estupenda.","['FOOD', 'AMBIENCE']","['positive', 'positive']"
Servicio bueno pero poca simpatía.,['SERVICE'],['neutral']
Arroz muy bueno pero escasa ración.,['FOOD'],['positive']
Los vinos carísimos.,['DRINKS'],['negative']
Mesa interior sin vistas.,['AMBIENCE'],['negative']
No repetiremos.,['RESTAURANT'],['negative']
Somos clientes asiduos .segir que lo bordais GRACIAS .,['RESTAURANT'],['positive']
"restaurante de lujo autentico, con un pianista muy ameno que te hace pasar una cena romantica especialmente si vas acompañado de alguien especial.","['RESTAURANT', 'AMBIENCE']","['positive', 'positive']"
muy buena paella,['FOOD'],['positive']
Un valor seguro para comer.,['RESTAURANT'],['positive']
Toda la comida muy buena y un servicio al mismo nivel.,"['SERVICE', 'FOOD']","['positive', 'positive']"
"La paella, una de las mejores de la ciudad.",['FOOD'],['positive']
Nos ha encantado.,['RESTAURANT'],['positive']
"Cenar en la terraza: fantastico, el servicio: excelente, la comida: fabulosa, el precio: bueno, pelín caro, pero vale la pena.","['FOOD', 'RESTAURANT', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive', 'negative']"
Repetiremos.,['RESTAURANT'],['positive']
<->No hay nada negativo.,['RESTAURANT'],['positive']
<+>La excelencia en el producto y la homogeneidad.,['FOOD'],['positive']
<+>este restaurante siempre es excelente.,['RESTAURANT'],['positive']
<+>Nunca falla.,['RESTAURANT'],['positive']
<+>Es un valor seguro.,['RESTAURANT'],['positive']
"Como siempre, no decepciona, magnificos pescados, atencion extraordinaria y vistas de Barcelona mientras almuerzas en la terraza muy bonitas","['RESTAURANT', 'AMBIENCE', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive', 'positive']"
Una comida deliciosa.,['FOOD'],['positive']
Excelente arroz y buen trato.,"['SERVICE', 'FOOD']","['positive', 'positive']"
La localizacion es muy buena.,['LOCATION'],['positive']
Si tienes oportunidad de comer en la terraza...un plus.,['AMBIENCE'],['positive']
Gran clasico de la barceloneta con un servicio inmejorable!!!,['SERVICE'],['positive']
Hay que repetir!!!,['RESTAURANT'],['positive']
Excelente materia prima y fantástico marco en la terraza con vistas al Muelle de España.,"['AMBIENCE', 'FOOD']","['positive', 'positive']"
Servicio muy amable y profesional.,['SERVICE'],['positive']
"Sin dudarlo, volveremos!!!",['RESTAURANT'],['positive']
Solicité en la reserva terraza y creo que estuve en una de las mejores mesas con terraza.,['AMBIENCE'],['positive']
El servicio muy correcto tanto en atención como en educación.,['SERVICE'],['positive']
Rapidez en la gestión del pedido y la calidad acorde al precio.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Quizás los postres y los vinos un poco caros.,"['DRINKS', 'FOOD']","['negative', 'negative']"
Zumo naranja 6€ me parece un poco exagerado.,['DRINKS'],['negative']
"comimos bien,sevicio amable,tardaron 2 plato mucho tiempo y no me gusto que aun quedando en la paella  y fideua mas racion,se la llevaron sin preguntar.","['RESTAURANT', 'SERVICE']","['positive', 'positive']"
Solo puedo dar un 10 a su cocina de una calidad y frescura incomparable.,['FOOD'],['positive']
la única pega o sorpresa fue a la hora del café ya que me sirvieron el mismo que en el Burger King.,['DRINKS'],['negative']
por lo demás 10.,['RESTAURANT'],['positive']
"El servicio y el local es muy aceptable,pero la relación calidad precio esta descompensada.se le tendría que explicar al cocinero,que el pulpo no se calienta en el microondas y menos si se le pone el pimentón y el aceite ya que se quema y reseca.","['FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'negative']"
"El resto,pasable y sin mas pretensiones pero no valía el precio que nos cobraron.",['RESTAURANT'],['negative']
"muy buen servicio, incluido aparca coches, esta todo en el nivel de calidad excelente.","['SERVICE', 'FOOD']","['positive', 'positive']"
El servicio desconoce la carta que además baja la calidad que solía tener.,"['SERVICE', 'FOOD']","['negative', 'negative']"
Excelente materia prima y muy buena elaboración.,['FOOD'],['positive']
Servicio atento.,['SERVICE'],['positive']
Los platos servidos en su justo momento.,['SERVICE'],['positive']
Buena cara de vinos.,['DRINKS'],['positive']
Local con decoración  clásica y marinera.,['AMBIENCE'],['positive']
Lástima que el tiempo no acompaño para disfrutar de su agradable terraza con vistas al mar,['AMBIENCE'],['positive']
Volveremos sin duda,['RESTAURANT'],['positive']
"Buen ambiente con vistas al puerto,  estupenda comida, los arroces muy ricos, el servicio atento y profesional.","['FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive']"
"Calidad y buen servicio, son los adjetivos ","['SERVICE', 'FOOD']","['positive', 'positive']"
"Preparación de los platos, pescado en los dos casos, correcta pero presentación dejaba mucho que desear.","['SERVICE', 'FOOD']","['neutral', 'negative']"
"Servicio tan atento que al final se hace pesado, urgencia por vaciar los platos de los entrantes compartidos queriendo continuamente servirnos.",['SERVICE'],['negative']
"11:00 de la noche cocineros empiezan a limpiar cocina; el olor a plancha, pescado y detergente invade la sala.",['AMBIENCE'],['negative']
"Postres nada atractivos, la misma carta de postres de los últimos 15 años.",['FOOD'],['negative']
"Una pena, no creo que volvamos",['RESTAURANT'],['negative']
"Como siempre, servicio muy correcto, rápido y excelente comida.","['SERVICE', 'FOOD']","['positive', 'positive']"
Comedor espacioso.,['AMBIENCE'],['positive']
Inmejorables vistas.,['AMBIENCE'],['positive']
Servicio atento al cliente.,['SERVICE'],['positive']
Ambiente familiar.,['AMBIENCE'],['positive']
Cocina inmejorable.,['FOOD'],['positive']
Notable en general.,['RESTAURANT'],['positive']
Pescado y marisco muy fresco y sabroso.,['FOOD'],['positive']
"La terraza por la noche, si el tiempo acompaña, genial (pedirla al hacer la reserva)",['AMBIENCE'],['positive']
"Muy satisfactoria, recomedare este restaurante entre mis allegados.",['RESTAURANT'],['positive']
"La comida es buena y el local agradable pero ""permitian fumar"" inconcebible en una zona que decian ""terraza"" y que estaba comunicada con el salon y con toldos bajados.","['AMBIENCE', 'FOOD']","['positive', 'negative']"
"A pesar de ser un restaurante de pescado y marisco, mi marido encontró buenísimo el filete a la pimienta verde que pidió.",['FOOD'],['positive']
El trato muy bueno.,['SERVICE'],['positive']
"Yo pedí una mesa bien situada y atendieron la petición, nos dieron una con muy buenas vistas.",['AMBIENCE'],['positive']
Celebramos el cumpleaños de mi pareja y todo fue perfecto.,['RESTAURANT'],['positive']
"Buen servicio, con mucha paciencia y siempre presentes.",['SERVICE'],['positive']
"Del menu 3 un buen 2ºplato, el primero, de pica-pica, un poco pobre.",['FOOD'],['positive']
"Seleccioné el restaurante para celebrar mi cumpleaños y me encanto a mi y a todos, la única cosa es que la próxima vez pediremos un poco más alejados de la cocina pq hay mucho jaleo en esa zona.","['RESTAURANT', 'AMBIENCE']","['positive', 'negative']"
En general todo muy bien y recomendable.,['RESTAURANT'],['positive']
Tienen un servicio rápido y eficiente.,['SERVICE'],['positive']
Buena calidad en los productos y un muy buen servicio recibido.,"['SERVICE', 'FOOD']","['positive', 'positive']"
<->Nada negativo.,['RESTAURANT'],['positive']
<+>Excelente recepción y incorporación a la mesa.,['SERVICE'],['positive']
<+>Rapidísima atención por parte del Maitre y de los camareros.,['SERVICE'],['positive']
"<+>Sugerencias de entrantes y platos principales excelentes, claras y concisas.",['SERVICE'],['positive']
<+>Todo perfecto.,['RESTAURANT'],['positive']
"Excelente, como siempre.",['RESTAURANT'],['positive']
"Excelente, lo recomiendo.",['SERVICE'],['positive']
"Algunos platos son excesivamente caros teniendo en cuenta la cantidad presentada, pero no nos ha sorprendido.",['FOOD'],['negative']
"Tal y como dicen los foros y opinion, la calidad del producto es muy buena y la relación calidad precio (de la comida) aceptable.",['FOOD'],['positive']
El vino tiene un precio totalmente excesivo (3 veces el precio en la tienda.),['DRINKS'],['negative']
"Respecto del servicio y del lugar indicar que aunque el servicio es bueno, este parece más de un restaurante de menú que no de un restaurnate de 70 euros por persona (deprisa, deprisa, deprisa).",['SERVICE'],['neutral']
La distancia entre mesas es digna de un restaurante de Menú.,['AMBIENCE'],['negative']
"En geenral está bien, pero si cuidasen esos pequeños detalles (sobre todo la distancia entre mesas) sería superior.",['RESTAURANT'],['positive']
Perfecto... Como siempre ...,['RESTAURANT'],['positive']
"Un buen lugar para comer buen marisco y pescado en un entorno privilegiado y en un local amplio, luminoso y agradable, aunque algo ruidoso (es muy grande).","['AMBIENCE', 'FOOD']","['positive', 'positive']"
Muy buen servicio y muy cómodo (te aparcan el coche).,['SERVICE'],['positive']
Nunca defrauda.,['RESTAURANT'],['positive']
"Productos de calidad óptima, elaborados magníficamente.",['FOOD'],['positive']
"Siempre es igual de excelente, con un servicio impecable.",['SERVICE'],['positive']
"Un Jefe de Sala que siempre recuerda y saluda a los cliente habituales, aunque hayan pasado meses desde la última vez que visitaron el restaurante.",['SERVICE'],['positive']
Un valor seguro.,['RESTAURANT'],['positive']
"Un ""Blue chip"" de la restauración.",['RESTAURANT'],['positive']
"Es dificil decidir que es lo más destacable, el servicio, la comida...","['SERVICE', 'FOOD']","['positive', 'positive']"
"Ambiente un poco cargado, servicio correcto, buena relación calidad/precio.","['FOOD', 'SERVICE', 'AMBIENCE']","['negative', 'positive', 'positive']"
Es de los pocos sitios que aun quedan donde se paga en función de como se come.,['RESTAURANT'],['positive']
No es barato pero al menos la calidad esta de acorde con el precio.,['FOOD'],['positive']
Lo recomiendo.,['RESTAURANT'],['positive']
Muy buen restaurante.,['RESTAURANT'],['positive']
Comida y vistas excepcionales.,"['AMBIENCE', 'FOOD']","['positive', 'positive']"
Como siempre excelente.,['RESTAURANT'],['positive']
